===== 2025-04-13T19:19:21.113764900 =====
Process: System Idle Process, PID: 0, CPU Time: N/A => OK
Process: System, PID: 4, CPU Time: N/A => OK
Process: Secure System, PID: 172, CPU Time: N/A => OK
Process: Registry, PID: 216, CPU Time: N/A => OK
Process: smss.exe, PID: 744, CPU Time: N/A => OK
Process: csrss.exe, PID: 1116, CPU Time: N/A => OK
Process: wininit.exe, PID: 1292, CPU Time: N/A => OK
Process: csrss.exe, PID: 1300, CPU Time: N/A => OK
Process: winlogon.exe, PID: 1392, CPU Time: N/A => OK
Process: services.exe, PID: 1436, CPU Time: N/A => OK
Process: LsaIso.exe, PID: 1456, CPU Time: N/A => OK
Process: lsass.exe, PID: 1472, CPU Time: N/A => OK
Process: svchost.exe, PID: 1608, CPU Time: N/A => OK
Process: fontdrvhost.exe, PID: 1636, CPU Time: N/A => OK
Process: fontdrvhost.exe, PID: 1644, CPU Time: N/A => OK
Process: svchost.exe, PID: 1748, CPU Time: N/A => OK
Process: svchost.exe, PID: 1792, CPU Time: N/A => OK
Process: svchost.exe, PID: 1892, CPU Time: N/A => OK
Process: svchost.exe, PID: 1968, CPU Time: N/A => OK
Process: svchost.exe, PID: 1972, CPU Time: N/A => OK
Process: svchost.exe, PID: 1992, CPU Time: N/A => OK
Process: svchost.exe, PID: 1984, CPU Time: N/A => OK
Process: svchost.exe, PID: 1304, CPU Time: N/A => OK
Process: svchost.exe, PID: 1492, CPU Time: N/A => OK
Process: svchost.exe, PID: 1624, CPU Time: N/A => OK
Process: svchost.exe, PID: 1120, CPU Time: N/A => OK
Process: svchost.exe, PID: 2160, CPU Time: N/A => OK
Process: svchost.exe, PID: 2212, CPU Time: N/A => OK
Process: svchost.exe, PID: 2252, CPU Time: N/A => OK
Process: svchost.exe, PID: 2420, CPU Time: N/A => OK
Process: svchost.exe, PID: 2584, CPU Time: N/A => OK
Process: svchost.exe, PID: 2640, CPU Time: N/A => OK
Process: dwm.exe, PID: 2664, CPU Time: DWM Notification Window => OK
Process: svchost.exe, PID: 2800, CPU Time: N/A => OK
Process: svchost.exe, PID: 2956, CPU Time: N/A => OK
Process: svchost.exe, PID: 3016, CPU Time: N/A => OK
Process: svchost.exe, PID: 3024, CPU Time: N/A => OK
Process: svchost.exe, PID: 2484, CPU Time: N/A => OK
Process: NVDisplay.Container.exe, PID: 2684, CPU Time: N/A => OK
Process: svchost.exe, PID: 3140, CPU Time: N/A => OK
Process: svchost.exe, PID: 3248, CPU Time: N/A => OK
Process: amdfendrsr.exe, PID: 3256, CPU Time: N/A => OK
Process: atiesrxx.exe, PID: 3264, CPU Time: N/A => OK
Process: svchost.exe, PID: 3324, CPU Time: N/A => OK
Process: svchost.exe, PID: 3520, CPU Time: N/A => OK
Process: svchost.exe, PID: 3580, CPU Time: N/A => OK
Process: NVDisplay.Container.exe, PID: 3756, CPU Time: NvSvc => OK
Process: svchost.exe, PID: 4076, CPU Time: N/A => OK
Process: svchost.exe, PID: 3564, CPU Time: N/A => OK
Process: svchost.exe, PID: 4176, CPU Time: N/A => OK
Process: svchost.exe, PID: 4184, CPU Time: N/A => OK
Process: atieclxx.exe, PID: 4192, CPU Time: SmartDC => OK
Process: svchost.exe, PID: 4264, CPU Time: N/A => OK
Process: svchost.exe, PID: 4272, CPU Time: N/A => OK
Process: svchost.exe, PID: 4640, CPU Time: N/A => OK
Process: svchost.exe, PID: 4764, CPU Time: N/A => OK
Process: svchost.exe, PID: 4792, CPU Time: N/A => OK
Process: svchost.exe, PID: 4900, CPU Time: N/A => OK
Process: svchost.exe, PID: 4972, CPU Time: N/A => OK
Process: svchost.exe, PID: 5344, CPU Time: N/A => OK
Process: svchost.exe, PID: 5352, CPU Time: N/A => OK
Process: svchost.exe, PID: 5524, CPU Time: N/A => OK
Process: svchost.exe, PID: 5636, CPU Time: N/A => OK
Process: svchost.exe, PID: 5664, CPU Time: N/A => OK
Process: wlanext.exe, PID: 5952, CPU Time: N/A => OK
Process: conhost.exe, PID: 5972, CPU Time: N/A => OK
Process: spoolsv.exe, PID: 5988, CPU Time: N/A => OK
Process: svchost.exe, PID: 6076, CPU Time: N/A => OK
Process: svchost.exe, PID: 6108, CPU Time: N/A => OK
Process: mDNSResponder.exe, PID: 4944, CPU Time: N/A => OK
Process: svchost.exe, PID: 5620, CPU Time: N/A => OK
Process: svchost.exe, PID: 4984, CPU Time: N/A => OK
Process: LenovoUtilityService.exe, PID: 6160, CPU Time: N/A => OK
Process: AdobeUpdateService.exe, PID: 6168, CPU Time: N/A => OK
Process: svchost.exe, PID: 6176, CPU Time: N/A => OK
Process: ijplmsvc.exe, PID: 6184, CPU Time: N/A => OK
Process: svchost.exe, PID: 6192, CPU Time: N/A => OK
Process: nvcontainer.exe, PID: 6200, CPU Time: N/A => OK
Process: LenovoVantageService.exe, PID: 6208, CPU Time: N/A => OK
Process: svchost.exe, PID: 6216, CPU Time: N/A => OK
Process: svchost.exe, PID: 6224, CPU Time: N/A => OK
Process: svchost.exe, PID: 6232, CPU Time: N/A => OK
Process: RtkAudUService64.exe, PID: 6244, CPU Time: N/A => OK
Process: pg_ctl.exe, PID: 6260, CPU Time: N/A => OK
Process: LDSvc.exe, PID: 6272, CPU Time: N/A => OK
Process: NahimicService.exe, PID: 6280, CPU Time: N/A => OK
Process: MpDefenderCoreService.exe, PID: 6296, CPU Time: N/A => OK
Process: armsvc.exe, PID: 6312, CPU Time: N/A => OK
Process: wslservice.exe, PID: 6332, CPU Time: N/A => OK
Process: MsMpEng.exe, PID: 6356, CPU Time: N/A => OK
Process: service_update.exe, PID: 6380, CPU Time: N/A => OK
Process: mysqld.exe, PID: 6400, CPU Time: N/A => OK
Process: AGMService.exe, PID: 6588, CPU Time: N/A => OK
Process: service_update.exe, PID: 6780, CPU Time: N/A => OK
Process: svchost.exe, PID: 6928, CPU Time: N/A => OK
Process: svchost.exe, PID: 7224, CPU Time: N/A => OK
Process: mysqld.exe, PID: 7492, CPU Time: N/A => OK
Process: conhost.exe, PID: 7520, CPU Time: N/A => OK
Process: svchost.exe, PID: 7784, CPU Time: N/A => OK
Process: postgres.exe, PID: 7924, CPU Time: N/A => OK
Process: conhost.exe, PID: 7964, CPU Time: N/A => OK
Process: unsecapp.exe, PID: 7080, CPU Time: N/A => OK
Process: postgres.exe, PID: 8288, CPU Time: N/A => OK
Process: postgres.exe, PID: 8360, CPU Time: N/A => OK
Process: postgres.exe, PID: 8388, CPU Time: N/A => OK
Process: jtagserver.exe, PID: 8520, CPU Time: N/A => OK
Process: postgres.exe, PID: 8596, CPU Time: N/A => OK
Process: postgres.exe, PID: 8604, CPU Time: N/A => OK
Process: postgres.exe, PID: 8612, CPU Time: N/A => OK
Process: sihost.exe, PID: 8772, CPU Time: N/A => OK
Process: svchost.exe, PID: 8804, CPU Time: N/A => OK
Process: svchost.exe, PID: 8816, CPU Time: N/A => OK
Process: svchost.exe, PID: 8860, CPU Time: N/A => OK
Process: svchost.exe, PID: 8924, CPU Time: Windows Push Notifications Platform => OK
Process: taskhostw.exe, PID: 9008, CPU Time: Task Host Window => OK
Process: svchost.exe, PID: 8432, CPU Time: N/A => OK
Process: explorer.exe, PID: 9620, CPU Time: N/A => OK
Process: svchost.exe, PID: 9668, CPU Time: N/A => OK
Process: svchost.exe, PID: 9844, CPU Time: N/A => OK
